schemaname,tablename,policyname,qual,with_check
public,aadhaar_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,agricultural_equipment,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = agricultural_equipment.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,animals,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = animals.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,ayushman_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,child_diseases,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = child_diseases.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,children_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = children_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,crop_productivity,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = crop_productivity.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,diseases,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = diseases.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,disputes,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = disputes.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,drinking_water_sources,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = drinking_water_sources.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,entertainment_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = entertainment_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,family_id_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,fertilizer_usage,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = fertilizer_usage.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,folklore_medicine,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = folklore_medicine.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,fpo_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = fpo_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,handicapped_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = handicapped_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,health_programmes,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = health_programmes.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,house_conditions,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = house_conditions.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,house_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = house_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,irrigation_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = irrigation_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,land_holding,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = land_holding.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,malnourished_children_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = malnourished_children_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,malnutrition_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = malnutrition_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,medical_treatment,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = medical_treatment.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
