schemaname,tablename,policyname,qual,with_check,has_f_compare,has_tablename_phone_ref
public,aadhaar_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,agricultural_equipment,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = agricultural_equipment.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,animals,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = animals.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,ayushman_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,child_diseases,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = child_diseases.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,children_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = children_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,crop_productivity,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = crop_productivity.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,diseases,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = diseases.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,disputes,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = disputes.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,drinking_water_sources,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = drinking_water_sources.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,entertainment_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = entertainment_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,family_id_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,fertilizer_usage,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = fertilizer_usage.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,folklore_medicine,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = folklore_medicine.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,fpo_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = fpo_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,handicapped_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = handicapped_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,health_programmes,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = health_programmes.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,house_conditions,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = house_conditions.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,house_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = house_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,irrigation_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = irrigation_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,land_holding,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = land_holding.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,malnourished_children_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = malnourished_children_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,malnutrition_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = malnutrition_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,medical_treatment,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = medical_treatment.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,migration_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = migration_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,nutritional_garden,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = nutritional_garden.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,pension_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pension_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,pm_kisan_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,pm_kisan_samman_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_samman_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,ration_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ration_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,samagra_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,shg_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = shg_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,social_consciousness,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = social_consciousness.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,training_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,transport_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = transport_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,tribal_questions,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_questions.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
