table_name,constraint_name,column_name
users,users_pkey,id
village_signboards,village_signboards_pkey,session_id
refresh_tokens,refresh_tokens_pkey,id
instances,instances_pkey,id
audit_log_entries,audit_log_entries_pkey,id
schema_migrations,schema_migrations_pkey,version
land_holding,land_holding_pkey,phone_number
sessions,sessions_pkey,id
mfa_factors,mfa_factors_pkey,id
mfa_challenges,mfa_challenges_pkey,id
mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,session_id
mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,authentication_method
sso_providers,sso_providers_pkey,id
sso_domains,sso_domains_pkey,id
saml_providers,saml_providers_pkey,id
saml_relay_states,saml_relay_states_pkey,id
flow_state,flow_state_pkey,id
identities,identities_pkey,id
one_time_tokens,one_time_tokens_pkey,id
oauth_clients,oauth_clients_pkey,id
ration_card,ration_card_pkey,phone_number
oauth_authorizations,oauth_authorizations_pkey,id
oauth_consents,oauth_consents_pkey,id
oauth_client_states,oauth_client_states_pkey,id
migrations,migrations_pkey,id
buckets,buckets_pkey,id
objects,objects_pkey,id 
s3_multipart_uploads,s3_multipart_uploads_pkey,id
s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,id
village_social_consciousness,village_social_consciousness_pkey,session_id
fertilizer_usage,fertilizer_usage_pkey,phone_number
buckets_vectors,buckets_vectors_pkey,id
vector_indexes,vector_indexes_pkey,id
buckets_analytics,buckets_analytics_pkey,id
schema_migrations,schema_migrations_pkey,version
spatial_ref_sys,spatial_ref_sys_pkey,srid
secrets,secrets_pkey,id
village_social_maps,village_social_maps_pkey,session_id
medical_treatment,medical_treatment_pkey,phone_number
custom_oauth_providers,custom_oauth_providers_pkey,id
handicapped_allowance,handicapped_allowance_pkey,phone_number
fpo_members,fpo_members_pkey,phone_number
fpo_members,fpo_members_pkey,sr_no
malnourished_children_data,malnourished_children_data_pkey,phone_number
malnourished_children_data,malnourished_children_data_pkey,sr_no
migration_data,migration_data_pkey,phone_number
migration_data,migration_data_pkey,sr_no
village_survey_details,village_survey_details_pkey,session_id
agricultural_equipment,agricultural_equipment_pkey,phone_number
children_data,children_data_pkey,phone_number
tribal_questions,tribal_questions_pkey,phone_number
village_animals,village_animals_pkey,session_id
village_animals,village_animals_pkey,sr_no
village_crop_productivity,village_crop_productivity_pkey,session_id
village_crop_productivity,village_crop_productivity_pkey,sr_no
